name,type,dosage,dosage_units,doses_per_interval,frequency_interval,timing,days_on,days_off,duration_period,duration_repeat,note,source,dosage_type,dosage_level
AOD9604,peptide,250,mcg,1,1 day,AM,,,12 weeks,4 weeks,,,baseline,standard
BPC-157,peptide,250,mcg,1,1 day,AM/PM,,,4 weeks,2 weeks,,https://youtu.be/VuZDBasRrs8?si=tlVv19nwnXifPk_t,baseline,standard
BPC-157,peptide,400,mcg,1,1 day,AM/PM,,,4 weeks,2 weeks,,https://youtu.be/VuZDBasRrs8?si=tlVv19nwnXifPk_t,baseline,standard
BPC-157,peptide,500,mcg,2,1 day,AM/PM,,,3 months,1 month,,https://www.vitalityhrt.com/blog/bpc-157-peptide-therapy/,theraputic,high
BPC-157/TB-500,peptide,250,mcg,1,1 day,AM/PM,,,12 weeks,4 weeks,,,baseline,standard
Cagrilintide,peptide,2.5,mg,1,7 days,AM/PM,,,,,"the recommended dosage is always 4 weeks at 0.25, 4 weeks at 0.5, 4 weeks 1mg, 4 weeks 1.7, 2.4mg after that",,baseline,standard
CJC-1295 No DAC,peptide,200,mcg,1,1 day,PM,5,2,8 weeks,8 weeks,,,baseline,standard
Epitalon,peptide,1,mg,1,1 day,AM,,,10 days,4 months,,,baseline,standard
Epitalon,peptide,1,mg,1,1 day,AM,,,20 days,4 months,,,baseline,standard
GHK-CU,peptide,1.5,mg,1,1 day,AM,,,8 weeks,8 weeks,,https://youtu.be/VuZDBasRrs8?si=tlVv19nwnXifPk_t,baseline,standard
GHK-CU,peptide,5,mg,1,1 day,PM,,,8 weeks,8 weeks,,,baseline,high
GHK-CU/BPC-157/TB-500,peptide,250,mcg,1,1day,AM/PM,,,8 weeks,4 weeks,User takes daily.  GHK dose would be approximately 2mg,,baseline,standard
Glutathione,peptide,750,mg,1,1 week,AM/PM,,,8 weeks,8 weeks,,,baseline,standard
HCG,amino,250,iu,1,2 days,AM/PM,3,4,,,,,baseline,standard
HMG,peptide,25,iu,1,,AM,,,,,,,baseline,standard
Ipamorelin,peptide,300,mcg,1,1 day,AM/PM,5,2,8 weeks,8 weeks,,,baseline,standard
Ipamorelin/CJC-1295 No DAC,peptide,200,mcg,1,1 day,AM/PM,5,2,8 weeks,8 weeks,,,baseline,standard
MOTS-C,peptide,10,mg,3,1 week,AM before exercise,,,4 weeks,4 weeks,break of 2-4 weeks after completing a 4-6 week cycle,https://youtu.be/rZRzUWb8UrM?si=M8e6Bz1LuhBy2QZ5,standard,standard
MOTS-C,peptide,10,mg,1,1 day,AM before exercise,,,4 weeks,4 weeks,Fat Loss and Metabolic Health. break of 2-4 weeks after completing a 4-6 week cycle,https://valhallavitality.com/blog/mots-c-dosage-essential-considerations-for-optimal-use,standard,standard
MOTS-C,peptide,15,mg,1,1 day,AM before exercise,,,4 weeks,4 weeks,Performance and Endurance. break of 2-4 weeks after completing a 4-6 week cycle,https://valhallavitality.com/blog/mots-c-dosage-essential-considerations-for-optimal-use,standard,standard
MOTS-C,peptide,10,mg,1,1 week,AM before exercise,,,4 weeks,4 weeks,"1mL = 10 mg dose, essentially the entire thing",https://www.majesticaestheticswellness.com/wp-content/uploads/2023/05/Peptide-Worksheet-.pdf,baseline,standard
NAD+,peptide,100,mg,1,3 days,AM,,,8 weeks,8 weeks,,,baseline,standard
NAD+,peptide,50,mg,1,2 days,AM/PM,3,4,12 weeks,4 weeks,,,baseline,standard
Retatrutide,peptide,2.5,mg,1,7 days,AM/PM,,,,,Retatrutide doses range from 2.5mg to 7mg,,baseline,standard
Semaglutide,peptide,1,mg,1,7 days,AM/PM,,,,,Semaglutide doses can be from .5mg to 2.5mg,,baseline,standard
Sermorelin,peptide,200,mcg,1,1 day,AM/PM,,,8 weeks,8 weeks,,,baseline,standard
